league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKWINTER,2012-12-12,CJ Entus,NaJin Sword,0,LongPanda,Jax,3,5,1,,,InSec,Amumu,1,3,4,,,Dade,Twisted Fate,2,3,6,,,Space,Ezreal,3,3,2,,,Kish,Sona,0,2,5,,,MakNooN,Irelia,4,4,9,,,Watch,Cho'Gath,3,1,8,,,SSONG,Diana,4,2,6,,,PraY,Caitlyn,4,2,8,,,Cain,Nunu,1,1,12,,
2013LCKWINTER,2012-12-12,NaJin Sword,CJ Entus,1,MakNooN,Rengar,6,3,2,,,Watch,Cho'Gath,2,0,11,,,SSONG,Orianna,2,0,8,,,PraY,Caitlyn,4,0,4,,,Cain,Lulu,1,1,9,,,LongPanda,Vladimir,2,2,0,,,InSec,Xin Zhao,0,7,3,,,Dade,Ezreal,0,2,0,,,Space,Corki,2,2,1,,,Kish,Janna,0,2,3,,
2013LCKWINTER,2012-12-14,MVP Blue,Azubu Blaze,0,KangQui,Pantheon,3,8,8,166.0,,NoFe,Cho'Gath,2,3,12,176.0,,SunChip,Vladimir,8,7,6,237.0,,Hermes,Sivir,8,5,12,368.0,,Bust,Blitzcrank,0,3,14,47.0,,Flame,Irelia,11,4,10,251.0,,Helios (Shin Dong-jin),Nocturne,1,3,16,224.0,,Ambition,Twisted Fate,6,5,13,343.0,,Cpt Jack,Caitlyn,4,5,14,286.0,,Lustboy,Sona,3,4,20,30.0,
2013LCKWINTER,2012-12-14,Azubu Blaze,MVP Blue,1,Flame,Olaf,7,1,9,213.0,,Helios (Shin Dong-jin),Nocturne,3,2,9,174.0,,Ambition,Evelynn,5,3,11,201.0,,Cpt Jack,Urgot,4,2,9,171.0,,Lustboy,Taric,1,1,16,10.0,,KangQui,Kayle,2,3,5,170.0,,NoFe,Jarvan IV,1,5,6,100.0,,SunChip,Talon,2,3,3,160.0,,Hermes,Kog'Maw,4,4,4,159.0,,Bust,Nunu,0,5,2,7.0,
2013LCKWINTER,2012-12-15,GSG,KT Rolster B,0,Acorn,Lee Sin,7,9,14,,,Heart,Shen,1,4,20,,,Easyhoon,Karthus,5,9,9,,,Clear (Kim Jae-yeol),Urgot,7,5,8,,,PoohManDu,LeBlanc,6,5,13,,,Ragan,Irelia,4,7,18,,,KaKAO,Amumu,3,8,14,,,Ryu,Diana,13,1,12,,,Score,Ezreal,10,4,17,,,Mafa,Blitzcrank,2,6,20,,
2013LCKWINTER,2012-12-15,KT Rolster B,GSG,1,Ragan,Rengar,6,2,8,260.0,,KaKAO,Nocturne,1,3,11,219.0,,Ryu,Twisted Fate,7,2,7,249.0,,Score,Ezreal,5,1,8,239.0,,Mafa,Leona,1,4,11,28.0,,Acorn,Lee Sin,4,5,1,222.0,,Heart,Olaf,2,3,7,136.0,,Easyhoon,Katarina,3,7,3,179.0,,Clear (Kim Jae-yeol),Caitlyn,2,2,3,246.0,,PoohManDu,Lux,0,3,5,48.0,
2013LCKWINTER,2012-12-19,MVP Blue,NaJin Sword,1,KangQui,Shen,2,0,18,,,NoFe,Cho'Gath,1,2,15,,,SunChip,Pantheon,4,5,13,,,Hermes,Twitch,17,3,3,,,Bust,Lulu,1,1,23,,,MakNooN,Rumble,3,6,4,,,Watch,Olaf,2,6,5,,,SSONG,Jayce,3,4,5,,,PraY,Ezreal,2,5,5,,,Cain,Zyra,1,4,8,,
2013LCKWINTER,2012-12-19,NaJin Sword,MVP Blue,1,MakNooN,Olaf,0,2,0,,,Watch,Shyvana,0,3,4,,,SSONG,Ahri,1,2,2,,,PraY,Ezreal,7,2,1,,,Cain,Lulu,1,1,6,,,KangQui,Shen,2,0,8,,,NoFe,Cho'Gath,1,2,6,,,SunChip,Mordekaiser,5,1,2,,,Hermes,Graves,2,3,4,,,Bust,Zyra,0,3,7,,
2013LCKWINTER,2012-12-21,GSG,Azubu Blaze,0,Clear (Kim Jae-yeol),Singed,2,5,6,,,Heart,Olaf,2,8,7,,,Easyhoon,Twisted Fate,1,6,7,,,Acorn,Ezreal,7,4,3,,,PoohManDu,LeBlanc,2,4,7,,,Flame,Darius,8,3,9,,,Helios (Shin Dong-jin),Nocturne,1,1,16,,,Ambition,Evelynn,14,4,9,,,Cpt Jack,Miss Fortune,3,3,16,,,Lustboy,Sona,1,3,23,,
2013LCKWINTER,2012-12-21,Azubu Blaze,GSG,1,Flame,Shen,4,3,10,,,Helios (Shin Dong-jin),Cho'Gath,5,4,7,,,Ambition,Teemo,4,0,10,,,Cpt Jack,Jayce,4,2,7,,,Lustboy,Lux,3,1,12,,,Acorn,Rumble,4,1,5,,,Heart,Nocturne,1,7,5,,,Easyhoon,Orianna,1,1,7,,,Clear (Kim Jae-yeol),Miss Fortune,3,4,4,,,PoohManDu,Lulu,1,5,8,,
