league,date,Blue,Red,winner,BT,BTC,BTK,BTD,BTA,BTCS,BTG,BJ,BJC,BJK,BJD,BJA,BJCS,BJG,BM,BMC,BMK,BMD,BMA,BMCS,BMG,BA,BAC,BAK,BAD,BAA,BACS,BAG,BS,BSC,BSK,BSD,BSA,BSCS,BSG,RT,RTC,RTK,RTD,RTA,RTCS,RTG,RJ,RJC,RJK,RJD,RJA,RJCS,RJG,RM,RMC,RMK,RMD,RMA,RMCS,RMG,RA,RAC,RAK,RAD,RAA,RACS,RAG,RS,RSC,RSK,RSD,RSA,RSCS,RSG
2013LCKSUMMER,2013-07-27,CJ Entus Blaze,Chunnam Tech U.,1,Flame,Shen,3,1,18,216,11.6,Helios (Shin Dong-jin),Elise,6,1,12,71,9.5,Ambition,Karthus,6,6,17,219,12.3,Hermes,Varus,10,5,9,172,11.7,Lustboy,Lulu,2,5,17,44,8.6,NonameD,Zac,2,5,7,164,8.4,Raccoon,Lee Sin,3,6,10,58,7.1,Mima,Gragas,8,3,5,197,10.7,Riris,Twitch,4,6,5,198,10,Wolf (Lee Jae-wan),Blitzcrank,1,7,11,22,6
2013LCKSUMMER,2013-07-05,SK Telecom T1,Incredible Miracle 2,1,Impact,Kennen,6,3,7,149,9.1,Bengi,Nunu,2,0,14,60,7.7,Faker,Kassadin,6,1,8,206,10.4,Piglet,Caitlyn,7,2,4,253,11.4,PoohManDu,Nami,0,1,13,16,6.1,Miss (Lee Jae-ha),LeBlanc,4,8,1,120,7.5,Lilac (Jeon Ho-jin),Xin Zhao,1,4,1,81,5.6,Kuro,Gragas,1,2,3,207,8.3,Scarlet (Jeong Jae-ho),Varus,1,2,1,166,7.3,BBuing,Thresh,0,5,3,20,4.6
2013LCKSUMMER,2013-07-05,Incredible Miracle 2,SK Telecom T1,0,Miss (Lee Jae-ha),Renekton,6,3,3,292,11.7,Lilac (Jeon Ho-jin),Jarvan IV,1,5,6,97,6.9,Kuro,Orianna,3,3,3,242,10.1,Scarlet (Jeong Jae-ho),Varus,1,7,2,189,8.5,BBuing,Thresh,1,7,4,12,5.1,Impact,Zac,8,2,8,296,13.2,Bengi,Nunu,0,4,18,68,9.2,Faker,Zed,4,3,3,296,13.7,Piglet,Caitlyn,12,0,8,240,14.7,PoohManDu,Nami,1,3,19,11,9
2013LCKSUMMER,2013-07-10,MVP Blue,NaJin White Shield,1,Acorn,Kennen,6,3,3,269,14.7,Heart,Lee Sin,2,3,11,102,10.9,Easyhoon,Ryze,6,3,8,296,15.7,Deft,Ezreal,5,1,7,350,16.9,FLahm,Fiddlesticks,0,3,9,20,9.5,Save,Vladimir,5,4,3,326,14.3,NoFe,Nunu,0,4,9,97,8,Ggoong,Zed,2,4,1,391,14.2,Zefa,Twitch,4,2,4,320,13.7,GorillA,Thresh,2,5,9,24,8.2
2013LCKSUMMER,2013-07-10,NaJin White Shield,MVP Blue,1,Save,Shen,3,0,15,252,13,NoFe,Evelynn,3,5,14,150,10.5,Ggoong,Ryze,8,1,11,304,15.5,Zefa,Caitlyn,6,0,4,306,14.7,GorillA,Nami,1,2,19,24,9,Acorn,Renekton,3,3,2,308,13,Heart,Lee Sin,2,5,3,117,9,Easyhoon,Orianna,2,3,2,358,13.3,Deft,Draven,1,6,4,291,12.1,FLahm,Thresh,0,5,3,19,7.2
2013LCKSUMMER,2013-07-13,SK Telecom T1,NaJin White Shield,1,Impact,Zac,2,5,12,169,9.8,Bengi,Elise,1,5,10,91,8.1,Faker,Orianna,9,2,7,328,15.3,Piglet,Caitlyn,6,2,9,296,14.1,PoohManDu,Nami,0,4,16,13,6.8,Save,Dr. Mundo,3,3,8,271,12.4,NoFe,Lee Sin,3,3,13,102,9.3,Ggoong,Vladimir,4,3,7,327,13.7,Locodoco,Vayne,6,3,9,265,12.9,GorillA,Thresh,2,6,9,9,7.6
2013LCKSUMMER,2013-07-13,NaJin White Shield,SK Telecom T1,0,Save,Shen,2,5,4,220,9.3,NoFe,Evelynn,4,2,5,124,8.1,Ggoong,Orianna,2,5,2,287,10.5,Locodoco,Twitch,2,4,4,181,8.8,GorillA,Thresh,0,3,7,16,5,Impact,Singed,1,2,6,310,13.2,Bengi,Nunu,0,3,16,60,9,Faker,Gragas,6,3,5,344,15.2,Piglet,Vayne,12,1,3,244,15,PoohManDu,Nami,0,2,16,23,8.6
2013LCKSUMMER,2013-07-19,Incredible Miracle 2,MVP Blue,1,PLL,Elise,3,0,6,173,9.2,Lilac (Jeon Ho-jin),Lee Sin,3,2,8,102,8,Kuro,Orianna,5,0,8,187,9.9,Scarlet (Jeong Jae-ho),Ezreal,3,1,8,187,9.4,BBuing,Nami,0,1,10,9,5.7,Acorn,Kennen,0,4,2,163,6.6,Heart,Kayle,0,3,4,91,5.2,Easyhoon,Ryze,4,4,0,194,8.5,Deft,Vayne,0,1,3,180,6.9,FLahm,Thresh,0,2,4,9,4.6
2013LCKSUMMER,2013-07-19,MVP Blue,Incredible Miracle 2,1,Acorn,Kennen,10,7,10,391,20.6,Heart,Elise,3,4,12,162,13.4,Easyhoon,Ryze,8,3,10,367,19.3,Deft,Twitch,13,3,15,379,21.8,FLahm,Thresh,0,7,19,31,11.6,PLL,Shen,8,6,12,317,18.9,Lilac (Jeon Ho-jin),Nunu,0,10,14,141,12.9,Kuro,Lux,9,4,9,364,19.3,Scarlet (Jeong Jae-ho),Kog'Maw,7,5,10,393,19.7,BBuing,Nami,0,9,15,34,11.4
2013LCKSUMMER,2013-07-24,MVP Blue,SK Telecom T1,0,Acorn,Vladimir,2,3,4,223,10.4,Spirit,Sejuani,0,5,10,118,7.9,Easyhoon,Karthus,6,5,4,367,14.7,Deft,Kog'Maw,5,2,6,240,11.7,Heart,Zyra,0,7,7,35,7.1,Impact,Shen,3,2,11,299,15.4,Bengi,Rammus,2,3,9,120,11.2,Faker,Ahri,9,1,7,438,19.5,Piglet,Vayne,6,2,5,306,15.9,PoohManDu,Thresh,2,5,9,21,9.6
